image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-Focus-11-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-11-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-11-m.jpg,540,400,26.120141669214867,0.8807399879456032,0.9729151535243202,0.003960263213867588
1-Focus-13-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-13-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-13-m.jpg,540,400,26.31330700319452,0.8823457076919614,0.9743261880641175,0.004092318047819363
1-Focus-16-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-16-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-16-m.jpg,540,400,25.61769982472669,0.873792664474304,0.9714613365294359,0.004251096879574923
1-Focus-19-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-19-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-19-m.jpg,540,400,26.459421908520667,0.8746730994840984,0.97434536610378,0.004177441705997794
1-Focus-22-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-22-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-22-m.jpg,540,400,25.855471064877182,0.872458927257485,0.9732348854962628,0.004191378461824542
1-Focus-27-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-27-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-27-m.jpg,540,400,24.98036764091116,0.8616374865548644,0.9684836952022728,0.004599146955118794
1-Focus-32-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Focus-32-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-32-m.jpg,540,400,25.549460507999605,0.8637618896465322,0.970569737312818,0.00448631869311377
1-Thick-10-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Thick-10-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-10-m.jpg,540,400,24.85608925036525,0.8508948382087765,0.9653867991212663,0.005831916241149133
1-Thick-3-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Thick-3-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-3-m.jpg,540,400,25.17836618106303,0.8556807507566001,0.9676187991985483,0.005359473677657276
1-Thick-5-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/sir2_withgt/1-Thick-5-m/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-5-m.jpg,540,400,25.549460507999605,0.8637618896465322,0.970569737312818,0.00448631869311377
